,Case,o%,Sample 1,s1%,iou s1,Recall 1,Precision 1,Sample 2,s2%,iou s2,Recall 2,Precision 2,Sample 3,s3%,iou s3,Recall 3,Precision 3
29,00004911_018.png,0.016477584838867188,4,0.004664421081542969,0.2830767449936335,0.2830767449936335,1.0,4,0.006728172302246094,0.35923360518377834,0.3722074314156731,0.9115520907158043,4,0.008754730224609375,0.3803933844628789,0.42198171084616276,0.7942265795206972
30,00005089_014.png,0.014825820922851562,4,0.01614093780517578,0.4308187186040363,0.6289077576225396,0.5776661742983752,1,0.03334808349609375,0.0,0.0,0.0,4,0.14069557189941406,0.10537517792991256,1.0,0.10537517792991256
31,00005215_000.png,0.0,5,0.0,,,,1,0.0032072067260742188,0.0,,0.0,5,0.0,,,
32,00005353_000.png,0.11862564086914062,5,0.11897563934326172,0.7178958545935957,0.8370180403254334,0.8345557292292894,5,0.2011728286743164,0.5471171457967123,0.9533556291603692,0.5621654933750504,4,0.08342552185058594,0.572896405291838,0.6203813872720841,0.8821417956514781
33,00006323_009.png,0.03072357177734375,2,0.27922630310058594,0.0966705696170497,0.8892786193195927,0.0978482871682776,4,0.061310768127441406,0.16161920123257661,0.41678048174819965,0.20885376969621552,1,0.0,0.0,0.0,
34,00006948_002.png,0.08476638793945312,4,0.09721088409423828,0.6330081300813009,0.8321745195985779,0.7256433147263398,3,0.08250904083251953,0.6708039626595542,0.7922798253903964,0.8139556387761943,2,0.0113525390625,0.0984948392933047,0.10167184195130732,0.7591565860215054
35,00007034_016.png,0.13826751708984375,1,0.1528911590576172,0.007803576969544923,0.016305247475583512,0.01474569293529111,5,0.0,0.0,0.0,,1,0.015360832214355469,0.0,0.0,0.0
36,00007558_006.png,0.012267112731933594,3,0.05190277099609375,0.2262091336516383,0.9650159371841717,0.22807952373952667,1,0.1175079345703125,0.0,0.0,0.0,1,0.0,0.0,0.0,
37,00007882_001.png,0.15950775146484375,4,0.40175819396972656,0.37918509196832606,0.9674211986416033,0.3840896898455637,5,0.5406818389892578,0.28843761132530416,0.9827031616205099,0.28990944463846646,2,0.011478424072265625,0.05776991150442478,0.05854498493327594,0.8135593220338984
38,00008008_027.png,0.0656747817993164,2,0.01690387725830078,0.1105126133405153,0.12512887533580194,0.4861495063469676,4,0.06887340545654297,0.1153502565359348,0.21187831264067378,0.2020382447832288,2,0.00962066650390625,0.13763490439619025,0.1387061642343716,0.9468675654242664
39,00008386_000.png,0.006403923034667969,2,0.1103658676147461,0.021516231030426405,0.38406552494415486,0.02228520569962066,5,0.008969306945800781,0.6856634947192304,0.9764705882352941,0.6971823498139288,4,0.002803802490234375,0.4378257632166791,0.4378257632166791,1.0
40,00008547_001.png,0.05036354064941406,3,0.23583602905273438,0.07071067456820428,0.375288771066086,0.08014412111997153,2,0.004520416259765625,0.06962307635120066,0.0709335353152812,0.7902953586497891,2,0.019500732421875,0.21221848989790346,0.2428517326263965,0.6272007042253521
41,00008554_009.png,0.029367446899414062,2,0.09251117706298828,0.21899084318962228,0.7455673183087614,0.23667852172568424,5,0.024433135986328125,0.315625,0.4395012015327661,0.5282591725214676,5,0.03701019287109375,0.19414610712692584,0.3674741832824576,0.2915893630179344
